station_name,station_id,index_nbr,latitude,longitude,obs_rems
A12-CPP,264306353,6205,55 23 57N,003 48 37E,"A, GOS"
AACHEN-ORSBACH,264305033,10505,50 47 53N,006 01 27E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
AADORF / TAENIKON,264309397,6679,47 28 48N,008 54 18E,"AGRIMET, GOS"
AALESUND,264306681,1224,62 28 13N,006 12 38E,GOS
AARHUS LUFTHAVN,264303863,6070,56 18 30N,010 37 32E,"A, GOS, RBSN(S)"
AARHUS SYD,264303869,6074,56 04 49N,010 08 07E,GOS
AARS SYD,264303855,6065,56 45 21N,009 30 24E,GOS
AARSLEV,264303909,6126,55 18 32N,010 26 23E,GOS
AASIAAT (EGEDESMINDE),264305367,4220,68 42 29N,052 51 06W,"C, R, WN, GOS, CLIMAT(C), RBCN"
ABADAN,264289461,40831,30 22 38N,048 12 53E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
ABADEH,264289453,40818,31 11 54N,052 36 59E,"GOS, RBSN(S)"
ABAG QI,264287639,53192,44 01 00N,115 00 12E,"GOS, RBSN(S)"
ABAKAN,264292201,29862,53 46 00N,091 19 00E,"GOS, GUAN, RBSN(T)"
ABAN,264292059,29485,56 40 54N,096 03 27E,"GOS, RBSN(S)"
ABASHIRI,264289641,47409,44 01 04N,144 16 47E,"C, GOS, CLIMAT(C), RBCN, RBSN(S)"
ABBEVILLE,264304411,7005,50 08 10N,001 50 02E,"A, RADAR, GOS, CLIMAT(C), RBCN, RBSN(S), WRO"
"ABBOTSFORD A, BC",264296579,71108,49 01 31N,122 21 36W,"A, GOS"
ABDALY,264290633,40550,30 04 00N,047 41 00E,"AGRIMET, GOS, CLIMAT(C)"
ABDENNIZI,264284901,60661,25 13 00N,005 07 00E,GOS
ABECHE,264285215,64756,13 51 00N,020 51 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
ABED,264303919,6141,54 49 39N,011 19 44E,GOS
"ABEE AGDM, ALTA",264296899,71285,54 17 00N,112 58 00W,GOS
ABEOKUTA,264286275,65213,07 10 00N,003 20 00E,GOS
ABERDARON,264310361,3405,52 47 20N,004 44 29W,GOS
"ABERDEEN PROVING GROUNDS, MD.",264299653,74002,39 30 00N,076 10 00W,GOS
"ABERDEEN/REG., SD.",264299537,72659,45 27 20N,098 24 48W,"R, WT, GOS, RBSN(ST)"
ABERPORTH,264310377,3502,52 08 22N,004 34 16W,"C, R, GOS, CLIMAT(C), RBCN, RBSN(S)"
ABETIFI,264285653,65450,06 40 00N,000 45 00W,GOS
